"Test Case ID"	"Module"	"TC Description"	"Feature File"	"Gherkin Scenario / Outline Row"	"Tags"	"Automation Candidate"	"Priority"	"Risk Level"	"Verified"	"Notes"
"REG-001"	"Registration"	"Successful registration with mandatory fields only"	"registration.feature"	"Scenario: Successful registration with mandatory fields only"	"@smoke @regression @positive"	"Yes"	"Critical"	"Critical"	""	""
"REG-002"	"Registration"	"Successful registration with all fields including optional phone"	"registration.feature"	"Scenario: Successful registration with all fields including optional phone"	"@regression @positive"	"Yes"	"High"	"High"	""	""
"REG-003"	"Registration"	"User is automatically logged in after registration"	"registration.feature"	"Scenario: User is automatically logged in after successful registration"	"@smoke @regression @positive"	"Yes"	"Critical"	"Critical"	""	""
"REG-004"	"Registration"	"Success page heading displays registered username"	"registration.feature"	"Scenario: Success page heading displays the registered username"	"@regression @positive"	"Yes"	"High"	"High"	""	""
"REG-005"	"Registration"	"Default account with $515.50 balance created"	"registration.feature"	"Scenario: A new bank account with default balance is created on registration"	"@regression @positive"	"Yes"	"High"	"High"	""	""
"REG-006"	"Registration"	"Empty form — all 10 validation errors"	"registration.feature"	"Scenario: Submitting empty registration form displays all required field errors simultaneously"	"@regression @negative"	"Yes"	"Critical"	"Critical"	""	""
"REG-007"	"Registration"	"Field validation — First Name missing"	"registration.feature"	"Scenario Outline: Required field validation fires… | row: First Name"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-008"	"Registration"	"Field validation — Last Name missing"	"registration.feature"	"Scenario Outline: Required field validation fires… | row: Last Name"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-009"	"Registration"	"Field validation — Address missing"	"registration.feature"	"Scenario Outline: Required field validation fires… | row: Address"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-010"	"Registration"	"Field validation — City missing"	"registration.feature"	"Scenario Outline: Required field validation fires… | row: City"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-011"	"Registration"	"Field validation — State missing"	"registration.feature"	"Scenario Outline: Required field validation fires… | row: State"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-012"	"Registration"	"Field validation — Zip Code missing"	"registration.feature"	"Scenario Outline: Required field validation fires… | row: Zip Code"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-013"	"Registration"	"Field validation — SSN missing"	"registration.feature"	"Scenario Outline: Required field validation fires… | row: SSN"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-014"	"Registration"	"Field validation — Username missing"	"registration.feature"	"Scenario Outline: Required field validation fires… | row: Username"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-015"	"Registration"	"Field validation — Password missing"	"registration.feature"	"Scenario Outline: Required field validation fires… | row: Password"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-016"	"Registration"	"Field validation — Confirm Password missing"	"registration.feature"	"Scenario Outline: Required field validation fires… | row: Confirm Password"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-017"	"Registration"	"Password mismatch validation"	"registration.feature"	"Scenario: Mismatched passwords show a password mismatch validation error"	"@regression @negative"	"Yes"	"Critical"	"Critical"	""	""
"REG-018"	"Registration"	"Duplicate username rejected"	"registration.feature"	"Scenario: Registering with an already-taken username is rejected"	"@regression @negative"	"Yes"	"Critical"	"Critical"	""	""
"REG-019"	"Registration"	"Boundary — min length first name (1 char)"	"registration.feature"	"Scenario Outline: Registration handles boundary-length name inputs | row: 1 char"	"@boundary"	"Yes"	"Medium"	"Medium"	""	""
"REG-020"	"Registration"	"Boundary — max length first name (300 chars)"	"registration.feature"	"Scenario Outline: Registration handles boundary-length name inputs | row: 300 chars"	"@boundary"	"Yes"	"Medium"	"Medium"	""	""
"REG-021"	"Registration"	"Boundary — username with spaces"	"registration.feature"	"Scenario Outline: Registration handles unusual username formats | row: john doe"	"@boundary @negative"	"Yes"	"High"	"High"	""	""
"REG-022"	"Registration"	"Boundary — username with special chars"	"registration.feature"	"Scenario Outline: Registration handles unusual username formats | row: john@doe#2026!"	"@boundary @negative"	"Yes"	"High"	"High"	""	""
"REG-023"	"Registration"	"Boundary — non-numeric zip code"	"registration.feature"	"Scenario Outline: Registration handles unusual format inputs | row: Zip Code ABCDE"	"@boundary"	"Yes"	"Medium"	"Medium"	""	""
"REG-024"	"Registration"	"Boundary — non-numeric phone"	"registration.feature"	"Scenario Outline: Registration handles unusual format inputs | row: Phone ABC-DEF-GH"	"@boundary"	"Yes"	"Low"	"Low"	""	""
"REG-025"	"Registration"	"Security — XSS in registration form"	"registration.feature"	"Scenario: XSS input in a registration field is sanitised and not executed"	"@security @negative"	"No"	"Critical"	"Critical"	""	"Manual + DAST recommended"
"REG-026"	"Registration"	"Security — SQL injection in registration"	"registration.feature"	"Scenario: SQL injection payload in the username field does not compromise the system"	"@security @negative"	"No"	"Critical"	"Critical"	""	"Manual + DAST recommended"
"REG-027"	"Registration"	"Security — password field masking"	"registration.feature"	"Scenario: Password fields on the registration form are masked"	"@security @smoke"	"Yes"	"Critical"	"Critical"	""	""
"REG-028"	"Registration"	"Usability — field retention after error"	"registration.feature"	"Scenario: Non-sensitive field values are retained after a validation error"	"@regression @usability"	"Yes"	"High"	"High"	""	""
"REG-029"	"Registration"	"Whitespace-only input treated as empty"	"registration.feature"	"Scenario: Whitespace-only input in required fields is treated as empty"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"REG-030"	"Registration"	"Authenticated user accessing registration page"	"registration.feature"	"Scenario: Authenticated user navigating to the registration page is handled appropriately"	"@regression @usability"	"Yes"	"Medium"	"Medium"	""	"OBSERVED GAP"
"LOG-001"	"Login"	"Successful login with valid credentials"	"login.feature"	"Scenario: Successful login with valid credentials redirects to Accounts Overview"	"@smoke @regression @positive"	"Yes"	"Critical"	"Critical"	""	""
"LOG-002"	"Login"	"Post-login redirect to Accounts Overview"	"login.feature"	"Scenario: Successful login with valid credentials redirects to Accounts Overview"	"@smoke @regression @positive"	"Yes"	"Critical"	"Critical"	""	"Same scenario as LOG-001"
"LOG-003"	"Login"	"Welcome message shows full name"	"login.feature"	"Scenario: Post-login welcome message shows the customer full name"	"@regression @positive"	"Yes"	"High"	"High"	""	""
"LOG-004"	"Login"	"Login — both fields empty"	"login.feature"	"Scenario Outline: Login with incomplete credentials | row: both empty"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"LOG-005"	"Login"	"Login — username only, password empty"	"login.feature"	"Scenario Outline: Login with incomplete credentials | row: username only"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"LOG-006"	"Login"	"Login — password only, username empty"	"login.feature"	"Scenario Outline: Login with incomplete credentials | row: password only"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"LOG-007"	"Login"	"Login — correct username, wrong password"	"login.feature"	"Scenario Outline: Login with invalid credentials | row: wrong password"	"@regression @negative"	"Yes"	"Critical"	"Critical"	""	""
"LOG-008"	"Login"	"Login — non-existent username"	"login.feature"	"Scenario Outline: Login with invalid credentials | row: nonexistent user"	"@regression @negative"	"Yes"	"High"	"High"	""	""
"LOG-009"	"Login"	"Login — wrong username, correct password"	"login.feature"	"Scenario Outline: Login with invalid credentials | row: wrong username"	"@regression @negative"	"Yes"	"High"	"High"	""	""
